time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2016-09-19T15:30:18.00Z,62.3359772,25.7805160,3522.301,22.06,20.77,-1.29,204.678,268.927,1.18,43.27402,6.66310,3,4
2016-09-19T15:30:18.20Z,62.3360059,25.7806213,3522.591,22.13,20.80,-1.74,115.924,125.546,1.10,43.22128,3.23213,3,4
2016-09-19T15:30:19.40Z,62.3361618,25.7812874,3535.600,22.89,19.61,-2.14,81.095,99.351,1.01,40.58103,2.52493,3,4
2016-09-19T15:30:19.60Z,62.3362055,25.7813737,3536.566,23.07,19.10,-2.14,77.933,95.503,1.24,39.61728,2.59714,3,4
2016-09-19T15:30:19.80Z,62.3362489,25.7814530,3537.371,23.16,18.82,-2.15,75.242,92.179,1.36,39.08733,2.66838,3,4
2016-09-19T15:30:20.00Z,62.3362958,25.7815202,3536.236,23.33,18.52,-2.12,72.788,89.116,1.42,38.44811,2.71563,3,4
2016-09-19T15:30:20.20Z,62.3363359,25.7815921,3536.532,23.35,18.56,-2.10,69.654,85.534,1.22,38.47325,3.02221,3,4
2016-09-19T15:30:20.40Z,62.3363691,25.7816786,3538.953,23.37,18.23,-2.08,66.706,82.181,1.18,37.95960,3.09073,3,4
2016-09-19T15:30:20.60Z,62.3364038,25.7817620,3540.480,23.55,18.19,-1.98,63.582,78.748,0.89,37.67696,3.01998,3,4
2016-09-19T15:30:20.80Z,62.3364498,25.7818228,3540.506,23.68,17.97,-1.94,60.814,75.677,0.86,37.19885,2.58983,3,4
2016-09-19T15:30:21.00Z,62.3364892,25.7818943,3541.247,23.77,17.74,-1.99,58.503,73.059,0.86,36.73776,2.43308,3,4
2016-09-19T15:30:21.20Z,62.3365268,25.7819647,3542.056,23.95,17.41,-1.95,56.661,70.901,0.86,36.01383,2.35363,3,4
